Date,FTSE All-World
2005-03,10000.0
2005-04,9853.201335110927
2005-05,10521.794100211324
2005-06,10857.42900162649
2005-07,11234.231769502661
2005-08,11178.199099732888
2005-09,11737.616647375648
2005-10,11510.457028389677
2005-11,12118.004761878989
2005-12,12412.586615715854
2006-01,12659.79795804024
2006-02,12887.888237907451
2006-03,12977.662201849334
2006-04,12883.098052334955
2006-05,12154.338539467572
2006-06,12221.53262953671
2006-07,12347.28033959996
2006-08,12636.883484176913
2006-09,12930.296189817756
2006-10,13313.062504664582
2006-11,13189.899828497022
2006-12,13567.217476135364
2007-01,13901.272482635613
2007-02,13601.0621357587
2007-03,13773.900719443967
2007-04,14050.087465283714
2007-05,14702.89188552484
2007-06,14618.261274205492
2007-07,14213.82766746432
2007-08,14240.032753136882
2007-09,14385.39365823392
2007-10,14714.452833495236
2007-11,13900.279882322337
2007-12,13795.959006533645
2008-01,12515.368780241339
2008-02,12239.508136133069
2008-03,11560.316694365089
2008-04,12430.471390194363
2008-05,12655.64761690028
2008-06,11432.260192300575
2008-07,11277.243042492635
2008-08,11692.994136508823
2008-09,10753.491341892586
2008-10,9541.246366777099
2008-11,8919.888917189692
2008-12,8451.58238303661
2009-01,8371.340817447312
2009-02,7631.595286477986
2009-03,7922.013631492516
2009-04,8900.483710517843
2009-05,9183.556594798245
2009-06,9221.66099396694
2009-07,9936.857050918516
2009-08,10183.935098544975
2009-09,10460.18489186383
2009-10,10203.073626857848
2009-11,10440.755777493921
2009-12,11150.323887730254
2010-01,11017.030742665369
2010-02,11356.315481556416
2010-03,12205.318784907742
2010-04,12446.774026860821
2010-05,12207.30015270653
2010-06,11874.375627950676
2010-07,12077.52856314927
2010-08,11950.189123224709
2010-09,12206.161505744454
2010-10,12416.453945780373
2010-11,12946.277736341854
2010-12,13496.916022317308
2011-01,13410.315269090359
2011-02,13691.660524929417
2011-03,13329.825492973441
2011-04,13280.165955240167
2011-05,13417.27569002573
2011-06,13105.579906618816
2011-07,13004.320368710305
2011-08,12031.208631952974
2011-09,11684.436033166938
2011-10,12449.47651374596
2011-11,12504.785576313388
2011-12,12935.881786095748
2012-01,13600.077003785325
2012-02,13985.850062810776
2012-03,14136.333493465467
2012-04,14068.194898484884
2012-05,13720.86405440741
2012-06,14036.23203753919
2012-07,14670.05179574641
2012-08,14648.887260678255
2012-09,14817.871399124275
2012-10,14628.571223917148
2012-11,14768.434919307156
2012-12,14920.400243445481
2013-01,15162.00074449563
2013-02,15739.176326676057
2013-03,16311.622995492622
2013-04,16359.16280895574
2013-05,16613.49100074639
2013-06,16088.925167266216
2013-07,16504.033767345652
2013-08,16280.492984469205
2013-09,16689.462095328796
2013-10,17288.069566713908
2013-11,17511.239028931264
2013-12,17604.464040545634
2014-01,17273.811297992397
2014-02,17671.230456951387
2014-03,17812.146082501848
2014-04,17880.424588527298
2014-05,18578.424789429064
2014-06,18879.40534478595
2014-07,19093.0136695709
2014-08,19829.736638604736
2014-09,20020.03072119868
2014-10,19962.140999325933
2014-11,20778.86649004451
2014-12,21005.076874816747
2015-01,22193.960210357724
2015-02,23326.582729636353
2015-03,24255.17977825853
2015-04,23939.12856292417
2015-05,24469.97258255058
2015-06,23522.824601323115
2015-07,23927.48934052417
2015-08,21998.93924629478
2015-09,20764.49490283754
2015-10,23201.944024137516
2015-11,24079.725557364156
2015-12,23011.833189033612
2016-01,21051.904074295933
2016-02,21475.369501508696
2016-03,22023.61831277598
2016-04,22249.500771502495
2016-05,22941.862307343832
2016-06,22858.268049654987
2016-07,23697.01894988749
2016-08,23876.917477436884
2016-09,23792.097615897965
2016-10,24088.53555065708
2016-11,25022.77327171266
2016-12,25890.691395345595
2017-01,25807.987444638464
2017-02,27006.77265947941
2017-03,27189.74764464752
2017-04,27120.141076060274
2017-05,26859.398724266866
2017-06,26600.30959409983
2017-07,26443.517307833416
2017-08,26339.506858588444
2017-09,27010.93244895898
2017-10,27991.479152474003
2017-11,27895.99583656976
2017-12,28180.01152576762
2018-01,28690.00128631662
2018-02,28094.19881812629
2018-03,27273.493797740055
2018-04,28044.875068269375
2018-05,29061.86783508785
2018-06,28891.50292115008
2018-07,29710.97753253719
2018-08,30101.368274793265
2018-09,30238.487565700674
2018-10,28750.285167147988
2018-11,29204.318537529933
2018-12,26909.673880520375
2019-01,28903.382899424436
2019-02,29900.77802949022
2019-03,30726.043976917368
2019-04,31837.90676043402
2019-05,30156.847435987478
2019-06,31431.349458017758
2019-07,32245.145074966797
2019-08,31848.534384332317
2019-09,32890.09115410072
2019-10,33044.795457111846
2019-11,34255.752797700996
2019-12,34864.57886678946
2020-01,34918.276830057206
2020-02,32389.64439049144
2020-03,28059.937383392094
2020-04,31112.382027604217
2020-05,32007.37598626185
2020-06,32711.2971641406
2020-07,32683.271597621137
2020-08,34331.089142700344
2020-09,33900.20802749431
2020-10,33287.38948061224
2020-11,36436.43527830437
2020-12,37286.93866068386
2021-01,37391.33561761907
2021-02,38308.90949406074
2021-03,40686.520519031044
2021-04,41452.916021419005
2021-05,41488.01767746839
2021-06,43303.70237712164
2021-07,43594.29944277205
2021-08,44893.8948302542
2021-09,44055.152214427144
2021-10,46153.2804025327
2021-11,46266.86927257733
2021-12,47694.47468516662
2022-01,46068.15035111478
2022-02,44243.176320883875
2022-03,46689.88751468952
2022-04,45867.91810595437
2022-05,44334.66046052775
2022-06,41632.69659983847
2022-07,45282.341704947845
2022-08,44603.75829759409
2022-09,41875.15240088244
2022-10,43501.47295913415
2022-11,45037.6408414323
2022-12,41838.18573452273
